model,class,psnr,ssim,fsim,lpips
SharpXR,Normal,31.58977785833602,0.8658906817436218,0.9197304844856262,0.22788506746292114
SharpXR,Normal,32.56910764915436,0.8950442671775818,0.9306364059448242,0.18107417225837708
SharpXR,Normal,33.29153924268691,0.9036267399787903,0.9381905198097229,0.20348751544952393
SharpXR,Normal,33.77251109367085,0.9016168713569641,0.9329574108123779,0.20234718918800354
SharpXR,Normal,31.83787388697294,0.8762800693511963,0.9214843511581421,0.23100419342517853
SharpXR,Normal,33.48301605422493,0.9070248007774353,0.9242753982543945,0.17306336760520935
SharpXR,Normal,33.42649949915317,0.9018959999084473,0.9246839284896851,0.20605720579624176
SharpXR,Normal,32.516259729176795,0.8916221261024475,0.924442708492279,0.1852910816669464
SharpXR,Normal,32.7227378662247,0.8921871781349182,0.9313162565231323,0.2007984220981598
SharpXR,Normal,33.749612321299686,0.908788800239563,0.9337677359580994,0.17572161555290222
SharpXR,Normal,32.956730041546216,0.8978394865989685,0.927549421787262,0.19500187039375305
SharpXR,Normal,31.46201624395307,0.8481414914131165,0.8944118618965149,0.26278629899024963
SharpXR,Normal,32.11974627602779,0.8631648421287537,0.9132398366928101,0.2283860594034195
SharpXR,Normal,33.05511624660254,0.8836567401885986,0.9222208261489868,0.2121097892522812
SharpXR,Normal,33.8661943034954,0.8980638384819031,0.917111873626709,0.2103426605463028
SharpXR,Normal,31.600672958345903,0.8725351095199585,0.9140151143074036,0.21827945113182068
SharpXR,Normal,31.716973417370795,0.8586108684539795,0.903346598148346,0.22891435027122498
SharpXR,Normal,32.70185127763496,0.8819301724433899,0.9135562181472778,0.23173367977142334
SharpXR,Normal,32.8012619677581,0.8923591375350952,0.9299762845039368,0.20627595484256744
SharpXR,Normal,31.848856600595752,0.8849753737449646,0.9200689196586609,0.18531905114650726
SharpXR,Normal,33.22210380951758,0.8972046971321106,0.9307963848114014,0.1957312673330307
SharpXR,Normal,33.128038867371295,0.8987858295440674,0.9266191124916077,0.1905723363161087
SharpXR,Normal,34.86262497608562,0.9320065975189209,0.9468595385551453,0.17422398924827576
SharpXR,Normal,33.342024929357244,0.9245485663414001,0.9417120218276978,0.15520992875099182
SharpXR,Normal,33.38926684892221,0.9000294804573059,0.9280991554260254,0.1862950623035431
SharpXR,Normal,33.64366328984347,0.9084464311599731,0.9384998679161072,0.1770254373550415
SharpXR,Normal,33.877598560952215,0.9092674851417542,0.9354775547981262,0.1710084080696106
SharpXR,Normal,33.11850364858478,0.8949293494224548,0.9247620105743408,0.21444782614707947
SharpXR,Normal,32.11572436425932,0.8808150291442871,0.9165975451469421,0.22813905775547028
SharpXR,Normal,33.25637254844225,0.8873617649078369,0.9277138710021973,0.2442639172077179
SharpXR,Normal,31.542164014616496,0.8436305522918701,0.8953036665916443,0.2666513919830322
SharpXR,Normal,32.12167869430556,0.8880211710929871,0.9204589128494263,0.2117515206336975
SharpXR,Normal,33.1850287009799,0.9028142094612122,0.9323089718818665,0.17960655689239502
SharpXR,Normal,32.76709788063473,0.9023147821426392,0.9298482537269592,0.18516699969768524
SharpXR,Normal,32.6914976794136,0.8933060765266418,0.9280105829238892,0.20227736234664917
SharpXR,Normal,32.27417318743162,0.8851877450942993,0.9266208410263062,0.20519819855690002
SharpXR,Normal,32.62612277335585,0.8898496031761169,0.9286253452301025,0.1932930052280426
SharpXR,Normal,34.03144066012278,0.9149666428565979,0.9320825934410095,0.20504920184612274
SharpXR,Normal,33.485041702877446,0.905461311340332,0.9288873672485352,0.18090927600860596
SharpXR,Normal,32.52190096122273,0.9009889960289001,0.9318068027496338,0.18148638308048248
SharpXR,Normal,32.618106918756474,0.8999755382537842,0.9292565584182739,0.17772750556468964
SharpXR,Normal,33.377895247958485,0.9055638909339905,0.933664858341217,0.18807807564735413
SharpXR,Normal,31.799415403175274,0.8750733137130737,0.9166935086250305,0.2179693579673767
SharpXR,Normal,32.055758054923345,0.8738595247268677,0.9142393469810486,0.21178092062473297
SharpXR,Normal,33.02985627527485,0.8892301917076111,0.9260023236274719,0.21733349561691284
SharpXR,Normal,31.086722289382138,0.8464879989624023,0.9041468501091003,0.2353440523147583
SharpXR,Normal,33.872883718678224,0.9199752807617188,0.9369238018989563,0.1832440346479416
SharpXR,Normal,33.05521841373106,0.9020079374313354,0.9362301826477051,0.18982650339603424
SharpXR,Normal,32.183414434561016,0.8973534107208252,0.9295575022697449,0.168552428483963
SharpXR,Normal,31.78391361394236,0.8719962239265442,0.9163079261779785,0.23686043918132782
SharpXR,Normal,31.732782040190624,0.8541536927223206,0.9040029644966125,0.24731801450252533
SharpXR,Normal,33.37572893411442,0.8959110975265503,0.9291896224021912,0.20074906945228577
SharpXR,Normal,32.46650127007843,0.8924516439437866,0.9308778643608093,0.19183966517448425
SharpXR,Normal,32.5772137816308,0.863155722618103,0.9127819538116455,0.24094802141189575
