arm,noise_level,psnr
ffdnet,low,35.3401
ffdnet,low,34.7617
ffdnet,low,35.123
ffdnet,low,34.138
ffdnet,low,35.108
ffdnet,low,34.6057
ffdnet,low,35.0768
ffdnet,low,35.5339
ffdnet,low,33.5126
ffdnet,low,34.8182
ffdnet,low,33.8225
ffdnet,low,33.5617
ffdnet,low,33.3835
ffdnet,low,35.6777
ffdnet,low,35.9141
ffdnet,low,34.425
ffdnet,low,33.5237
ffdnet,low,35.0286
ffdnet,low,33.9777
ffdnet,low,35.6407
ffdnet,low,35.3237
ffdnet,low,35.6304
ffdnet,low,35.322
ffdnet,low,33.5702
ffdnet,low,36.6801
ffdnet,low,36.1455
ffdnet,low,34.2593
ffdnet,low,34.3762
ffdnet,low,33.7256
ffdnet,low,35.9562
ffdnet,low,34.9091
ffdnet,low,35.1274
ffdnet,low,34.9374
ffdnet,low,36.6855
ffdnet,low,34.9537
ffdnet,low,35.0391
ffdnet,low,34.1963
ffdnet,low,33.3605
ffdnet,low,34.533
ffdnet,low,35.64
ffdnet,low,33.657
ffdnet,low,36.2217
ffdnet,low,35.2357
ffdnet,low,36.4219
ffdnet,low,35.5684
ffdnet,low,35.6442
ffdnet,low,35.0653
ffdnet,low,35.4954
ffdnet,low,34.5888
ffdnet,low,34.8161
ffdnet,low,35.3442
ffdnet,low,35.3294
ffdnet,low,35.7966
ffdnet,low,37.3213
ffdnet,low,36.7819
ffdnet,low,35.9616
ffdnet,low,34.0478
ffdnet,low,36.2059
ffdnet,low,36.577
ffdnet,low,35.9825
ffdnet,low,34.7472
ffdnet,low,35.5453
ffdnet,low,34.8604
ffdnet,low,34.2908
ffdnet,low,36.0911
ffdnet,low,34.0687
ffdnet,low,34.8798
ffdnet,low,34.1548
ffdnet,low,34.1076
ffdnet,low,35.8956
ffdnet,low,36.012
ffdnet,low,34.9776
ffdnet,low,35.2768
ffdnet,low,35.463
ffdnet,low,36.0553
ffdnet,low,35.8942
ffdnet,low,34.228
ffdnet,low,34.542
ffdnet,low,33.5722
ffdnet,low,34.5244
ffdnet,low,36.0845
ffdnet,low,34.5219
ffdnet,low,35.9796
ffdnet,low,33.1281
ffdnet,low,35.7855
ffdnet,low,36.0012
ffdnet,low,36.5487
ffdnet,low,35.0043
ffdnet,low,35.1194
ffdnet,low,34.1027
ffdnet,low,36.0024
ffdnet,low,34.7818
ffdnet,low,35.9016
ffdnet,low,35.3407
ffdnet,low,35.4281
ffdnet,low,34.9776
ffdnet,low,36.0545
ffdnet,low,35.0629
ffdnet,low,34.4424
ffdnet,low,34.9207
ffdnet,low,32.7528
ffdnet,low,34.2413
ffdnet,low,33.4053
ffdnet,low,34.4017
ffdnet,low,34.3467
ffdnet,low,34.7778
ffdnet,low,35.326
ffdnet,low,36.1916
ffdnet,low,34.5326
ffdnet,low,34.151
ffdnet,low,35.2843
ffdnet,low,34.9226
ffdnet,low,34.8077
ffdnet,low,35.7331
ffdnet,low,35.2231
ffdnet,low,34.1845
ffdnet,low,35.3137
ffdnet,low,35.2031
ffdnet,low,34.6556
ffdnet,low,34.3669
ffdnet,low,35.0843
ffdnet,low,34.8812
ffdnet,low,33.8765
ffdnet,low,35.4658
ffdnet,low,34.0359
ffdnet,low,35.7029
ffdnet,low,35.5465
ffdnet,low,34.3181
ffdnet,low,33.2915
ffdnet,low,34.4881
ffdnet,low,33.7064
ffdnet,low,34.3286
ffdnet,low,35.506
ffdnet,low,34.5491
ffdnet,low,33.7999
ffdnet,low,35.6787
ffdnet,low,33.9458
ffdnet,low,32.5573
ffdnet,low,34.2174
ffdnet,low,36.1456
ffdnet,low,33.6063
ffdnet,low,33.3771
ffdnet,low,35.2402
ffdnet,low,35.411
ffdnet,low,33.4203
ffdnet,low,34.037
ffdnet,low,35.3367
ffdnet,low,35.2204
ffdnet,low,34.2646
ffdnet,low,35.7496
ffdnet,low,35.6077
ffdnet,low,35.8158
ffdnet,low,35.9593
ffdnet,low,35.4565
ffdnet,low,35.2141
ffdnet,low,35.2648
ffdnet,low,33.4874
ffdnet,low,34.9231
ffdnet,low,34.6125
ffdnet,low,34.4081
ffdnet,low,33.9235
ffdnet,low,33.0725
ffdnet,low,34.0908
ffdnet,low,36.0806
ffdnet,low,34.7815
ffdnet,low,36.0869
ffdnet,low,34.6465
ffdnet,low,34.874
ffdnet,low,34.0663
ffdnet,low,36.1449
ffdnet,low,36.7582
ffdnet,low,33.1962
ffdnet,low,33.302
ffdnet,low,35.6
ffdnet,low,35.6001
ffdnet,low,33.5754
ffdnet,low,36.661
ffdnet,low,36.6445
ffdnet,low,34.8233
ffdnet,low,35.328
ffdnet,low,36.09
ffdnet,low,34.5765
ffdnet,low,33.5323
ffdnet,low,34.9786
ffdnet,low,35.4891
ffdnet,low,34.348
ffdnet,low,35.8276
ffdnet,low,35.9906
ffdnet,low,33.5686
ffdnet,low,34.5012
ffdnet,low,34.9352
ffdnet,low,34.8431
ffdnet,low,35.4697
ffdnet,low,34.0756
ffdnet,low,34.4783
ffdnet,low,34.4656
ffdnet,low,34.9178
ffdnet,low,34.2073
ffdnet,low,35.3257
ffdnet,low,34.4292
ffdnet,low,34.9511
ffdnet,low,36.3442
ffdnet,low,35.3383
ffdnet,low,34.6359
ffdnet,low,33.8073
ffdnet,low,35.9717
ffdnet,low,34.1527
ffdnet,low,34.3846
ffdnet,low,34.0487
ffdnet,low,34.7859
ffdnet,low,35.4547
ffdnet,low,35.9042
ffdnet,low,35.875
ffdnet,low,35.4152
ffdnet,low,35.8005
ffdnet,low,34.5741
ffdnet,low,32.4536
ffdnet,low,33.9608
ffdnet,low,33.6061
ffdnet,low,33.7682
ffdnet,low,35.6348
ffdnet,low,35.5596
ffdnet,low,35.5802
ffdnet,low,35.463
ffdnet,low,34.9429
ffdnet,low,33.5964
ffdnet,low,33.4923
ffdnet,low,34.9518
ffdnet,low,35.3817
ffdnet,low,34.1522
ffdnet,low,34.0069
ffdnet,low,34.3753
ffdnet,low,35.7448
ffdnet,low,35.3745
ffdnet,low,35.1471
ffdnet,low,36.2259
ffdnet,low,35.5002
ffdnet,low,36.0713
ffdnet,low,34.138
ffdnet,low,33.4138
ffdnet,low,34.4804
ffdnet,low,35.7871
ffdnet,low,35.7473
ffdnet,low,35.2365
ffdnet,low,34.6301
ffdnet,low,34.0146
ffdnet,low,34.6891
ffdnet,low,34.2801
ffdnet,low,37.4076
ffdnet,low,35.0042
ffdnet,low,35.6022
ircnn,low,34.5572
ircnn,low,33.509
ircnn,low,34.0479
ircnn,low,34.7005
ircnn,low,34.3269
ircnn,low,34.9676
ircnn,low,34.8231
ircnn,low,34.8021
ircnn,low,33.4735
ircnn,low,33.5215
ircnn,low,33.9963
ircnn,low,34.1188
ircnn,low,34.4923
ircnn,low,35.7502
ircnn,low,36.1102
ircnn,low,33.845
ircnn,low,34.9565
ircnn,low,34.1969
ircnn,low,34.1618
ircnn,low,34.4998
ircnn,low,35.9261
ircnn,low,34.4428
ircnn,low,34.9458
ircnn,low,33.5781
ircnn,low,33.9364
ircnn,low,34.595
ircnn,low,33.1242
ircnn,low,33.3418
ircnn,low,34.8652
ircnn,low,34.4142
ircnn,low,33.5071
ircnn,low,34.1502
ircnn,low,33.4702
ircnn,low,33.2033
ircnn,low,32.8078
ircnn,low,34.1909
ircnn,low,35.4419
ircnn,low,35.3881
ircnn,low,33.9444
ircnn,low,32.977
ircnn,low,34.577
ircnn,low,34.8677
ircnn,low,32.6703
ircnn,low,34.2807
ircnn,low,34.304
ircnn,low,33.5555
ircnn,low,36.1118
ircnn,low,33.154
ircnn,low,33.9822
ircnn,low,34.2887
ircnn,low,33.5912
ircnn,low,34.8899
ircnn,low,34.0551
ircnn,low,34.1576
ircnn,low,34.4389
ircnn,low,35.2392
ircnn,low,35.6516
ircnn,low,33.9781
ircnn,low,34.0062
ircnn,low,34.2294
ircnn,low,34.9739
ircnn,low,34.8214
ircnn,low,34.2805
ircnn,low,33.8421
ircnn,low,34.5808
ircnn,low,32.7308
ircnn,low,33.1177
