model,class,psnr,ssim,lpips
A (L2),Normal,34.12253428224076,0.9244468212127686,0.16513925790786743
D (NLL+SSIM+FFL),Normal,32.83007903860029,0.9033411145210266,0.21672335267066956
H (PP-VAE),Normal,31.876610167258992,0.8845208287239075,0.2746840715408325
DnCNN,Normal,32.06190499095762,0.8825641870498657,0.26745644211769104
SCUNet,Normal,34.198655817541194,0.9268803596496582,0.16485008597373962
A (L2),Normal,32.25945069032449,0.8900829553604126,0.18835905194282532
D (NLL+SSIM+FFL),Normal,31.08970439535686,0.8664877414703369,0.22977380454540253
H (PP-VAE),Normal,30.29460887403687,0.8491302728652954,0.2745022773742676
DnCNN,Normal,30.563785633995344,0.8488338589668274,0.2617662250995636
SCUNet,Normal,32.30581879927972,0.8920937180519104,0.18604430556297302
A (L2),Normal,32.27975022765251,0.8894436359405518,0.217064768075943
D (NLL+SSIM+FFL),Normal,31.26151368456608,0.8628437519073486,0.24584002792835236
H (PP-VAE),Normal,30.75310243729237,0.84962397813797,0.26322993636131287
DnCNN,Normal,30.717674821549643,0.8418949246406555,0.25139176845550537
SCUNet,Normal,32.39471788822748,0.8931563496589661,0.21008996665477753
A (L2),Normal,34.27228449978347,0.9225264191627502,0.19936782121658325
D (NLL+SSIM+FFL),Normal,33.16885727615918,0.903217077255249,0.2501661777496338
H (PP-VAE),Normal,32.24803115409612,0.8888863325119019,0.28159621357917786
DnCNN,Normal,32.478215999105295,0.8841691613197327,0.27614322304725647
SCUNet,Normal,34.37330689772776,0.9232669472694397,0.18628811836242676
A (L2),Normal,33.44065152872442,0.9072882533073425,0.23489882051944733
D (NLL+SSIM+FFL),Normal,32.39302456882953,0.8829545974731445,0.2899448573589325
H (PP-VAE),Normal,31.726821948061747,0.867114245891571,0.31984809041023254
DnCNN,Normal,31.79529139106853,0.8646216988563538,0.3285014033317566
SCUNet,Normal,33.530630004369584,0.9070931077003479,0.22339653968811035
A (L2),Normal,32.251004944449534,0.8595981597900391,0.23365914821624756
D (NLL+SSIM+FFL),Normal,31.43852145750278,0.8397194743156433,0.27047741413116455
H (PP-VAE),Normal,30.958991459315595,0.8249209523200989,0.31871625781059265
DnCNN,Normal,31.039877534110687,0.8220089077949524,0.319105863571167
SCUNet,Normal,32.40216140330971,0.8635162711143494,0.2178526520729065
A (L2),Normal,33.555322807460286,0.9144873023033142,0.18286897242069244
D (NLL+SSIM+FFL),Normal,32.3555584200201,0.8906736373901367,0.22879432141780853
H (PP-VAE),Normal,31.571615260456856,0.8685824275016785,0.2807210087776184
DnCNN,Normal,31.738170891953814,0.8684273362159729,0.2696547508239746
SCUNet,Normal,33.6875381512387,0.9170824289321899,0.1781303435564041
A (L2),Normal,32.396936872669755,0.887643039226532,0.2061663269996643
D (NLL+SSIM+FFL),Normal,31.323230770624125,0.86091148853302,0.2525765299797058
H (PP-VAE),Normal,30.64036546341418,0.845514714717865,0.29226043820381165
DnCNN,Normal,30.80975010203538,0.8425129652023315,0.27643102407455444
SCUNet,Normal,32.417363795068546,0.8875081539154053,0.20364031195640564
A (L2),Normal,31.80701176319015,0.8650394082069397,0.23647429049015045
D (NLL+SSIM+FFL),Normal,30.828730133748778,0.8376562595367432,0.27665504813194275
H (PP-VAE),Normal,30.38602591824935,0.8254129886627197,0.30181971192359924
DnCNN,Normal,30.571331149317512,0.8245960474014282,0.3014187216758728
SCUNet,Normal,31.86288357038908,0.8683818578720093,0.23397603631019592
A (L2),Normal,32.226292953495445,0.8923543691635132,0.18061098456382751
D (NLL+SSIM+FFL),Normal,30.83186164927962,0.8608905673027039,0.23379965126514435
H (PP-VAE),Normal,29.965596350303656,0.8389195203781128,0.28261685371398926
DnCNN,Normal,30.31051139314071,0.8411759734153748,0.2736648917198181
SCUNet,Normal,32.36903253051689,0.8956703543663025,0.1755971610546112
A (L2),Normal,33.790417503055224,0.9102091193199158,0.18168164789676666
D (NLL+SSIM+FFL),Normal,32.4422394138653,0.883228600025177,0.22765454649925232
H (PP-VAE),Normal,31.61007710699613,0.8618984222412109,0.27732691168785095
DnCNN,Normal,31.675541801925363,0.8597317934036255,0.270973265171051
SCUNet,Normal,33.97442776844119,0.9137877225875854,0.17461884021759033
A (L2),Normal,35.08116028352002,0.938161313533783,0.14250200986862183
D (NLL+SSIM+FFL),Normal,33.46992809852579,0.9181091785430908,0.188400000333786
